year,unitid,inst_name,state_abbr,inst_control,institution_level,inst_status,degree_granting,open_public,title_iv_indicator,postsec_public_active,postsec_public_active_title_iv,inst_category,inst_size,sector,primarily_postsecondary,hbcu,tribal_college,offering_highest_degree,offering_highest_level,offering_undergrad,offering_grad,inst_affiliation,dist_progs_all,religious_affiliation,calendar_system,student_faculty_ratio,geo_longitude,geo_latitude,opeid,geocode_accuracy,inst_alias,state_fips_geo,address,county_fips_geo,puma,fips,tract,zip,block_group,phone_number,geoid_block,city,census_region,county_name,census_division,county_fips,csa,region,cbsa,urban_centric_locale,cbsa_name,cbsa_type,cbsa_city,place_fips,necta,geoid_place,longitude,place_name,latitude,class_code,congress_district_id,upper_chamber,state_leg_district_upper,upper_chamber_name,lower_chamber,state_leg_district_lower,lower_chamber_name,lower_chamber_type,disability_percentage
"2019","444796","Omnitech Institute","GA","Private for-profit","Less than two years (below associate's)","Active","No","Yes","Participates in Title IV federal financial aid programs","Active postsecondary institution","Title IV postsecondary institution","Nondegree-granting, sub-baccalaureate","Under 1,000","Private for-profit, less-than-two-year","Yes","No","No","Non–degree granting","At least one, but less than two academic years","Yes","No","Private for-profit","No","Not applicable","Differs by program","10","-84.44755","33.61369","03812300","Not applicable"," ","Georgia","1800 Phoenix Blvd. Bldg 100 Suite 104","13063","01401","Georgia","40204","30349","2","4042848121","130630402042","Atlanta","South","Clayton County","South Atlantic","13063","122","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","12060","Suburb, large","Atlanta-Sandy Springs-Marietta, GA","Metropolitan statistical area","No","17776","Not applicable","1317776","-84.447548","College Park city","33.613689","Governmentally active (incorporated)","1305","13034","034","State Senate District 34","13062","062","State House District 62","State house district",""
"2019","140720","Paine College","GA","Private not-for-profit","Four or more years","Active","Yes","Yes","Participates in Title IV federal financial aid programs","Active postsecondary institution","Title IV postsecondary institution","Degree-granting, primarily baccalaureate or above","Under 1,000","Private not-for-profit, four-year or above","Yes","Yes","No","Bachelor's degree","Bachelor's degree","Yes","No","Private not-for-profit (religious affiliation)","No","United Methodist","Semester","10","-81.993225","33.469543","00158700","Not applicable"," ","Georgia","1235 15th St","13245","02300","Georgia","1000","30901-3182","4","7068218200","132450010004","Augusta","South","Richmond County","South Atlantic","13245","Not applicable","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","12260","City, midsize","Augusta-Richmond County, GA-SC","Metropolitan statistical area","Yes","4204","Not applicable","1304204","-81.993225","Augusta-Richmond County consolidated government (balance)","33.469543","Consolidated city portion","1312","13022","022","State Senate District 22","13121","121","State House District 121","State house district",""
"2019","454926","Paul Mitchell the School-Atlanta","GA","Private for-profit","Less than two years (below associate's)","Active","No","Yes","Participates in Title IV federal financial aid programs","Active postsecondary institution","Title IV postsecondary institution","Nondegree-granting, sub-baccalaureate","Under 1,000","Private for-profit, less-than-two-year","Yes","No","No","Non–degree granting","At least one, but less than two academic years","Yes","No","Private for-profit","No","Not applicable","Continuous","20","-84.416275","33.782528","04147000","Not applicable"," ","Georgia","887 West Marietta Street Suite A","13121","01103","Georgia","700","30318","2","404888007024","131210007002","Atlanta","South","Fulton County","South Atlantic","13121","122","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","12060","City, large","Atlanta-Sandy Springs-Marietta, GA","Metropolitan statistical area","Yes","4000","Not applicable","1304000","-84.416275","Atlanta city","33.782528","Governmentally active (incorporated)","1305","13039","039","State Senate District 39","13055","055","State House District 55","State house district",""
"2019","454607","Paul Mitchell the School-Esani","GA","Private for-profit","Less than two years (below associate's)","Active","No","Yes","Participates in Title IV federal financial aid programs","Active postsecondary institution","Title IV postsecondary institution","Nondegree-granting, sub-baccalaureate","Under 1,000","Private for-profit, less-than-two-year","Yes","No","No","Non–degree granting","At least one, but less than two academic years","Yes","No","Private for-profit","No","Not applicable","Continuous","14","-84.33367","34.042225","02577000","Not applicable"," ","Georgia","1003 Mansell Rd","13121","01102","Georgia","11421","30076","1","6787950999","131210114211","Roswell","South","Fulton County","South Atlantic","13121","122","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","12060","City, small","Atlanta-Sandy Springs-Marietta, GA","Metropolitan statistical area","No","1696","Not applicable","1301696","-84.333672","Alpharetta city","34.042225","Governmentally active (incorporated)","1306","13056","056","State Senate District 56","13047","047","State House District 47","State house district",""
"2019","140818","Piedmont College","GA","Private not-for-profit","Four or more years","Active","Yes","Yes","Participates in Title IV federal financial aid programs","Active postsecondary institution","Title IV postsecondary institution","Degree-granting, primarily baccalaureate or above","1,000–4,999","Private not-for-profit, four-year or above","Yes","No","No","Doctor's degree, research/scholarship","Doctor's degree","Yes","Yes","Private not-for-profit (religious affiliation)","No","United Church of Christ","Semester","11","-83.54213","34.566044","00158800","Not applicable"," ","Georgia","1021 Central Ave","13137","00300","Georgia","500","30535-0010","3","7067783000","131370005003","Demorest","South","Habersham County","South Atlantic","13137","122","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","18460","Town, distant","Cornelia, GA","Micropolitan statistical area","No","22304","Not applicable","1322304","-83.54213","Demorest city","34.566044","Governmentally active (incorporated)","1309","13050","050","State Senate District 50","13010","010","State House District 10","State house district",""
"2019","460826","Platt College-Miller-Motte Technical-Augusta","GA","Private for-profit","At least two but less than four years","Active","Yes","Yes","Participates in Title IV federal financial aid programs","Active postsecondary institution","Title IV postsecondary institution","Degree-granting, associate's and certificates","Under 1,000","Private for-profit, two-year","Yes","No","No","Associate's degree","Associate's degree","Yes","No","Private for-profit","No","Not applicable","Differs by program","30","-82.08698","33.494995","02306814","Not applicable"," ","Georgia","621 NW Frontage Road","13245","02300","Georgia","10204","30907-0921","2","7063968000","132450102042","Augusta","South","Richmond County","South Atlantic","13245","Not applicable","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","12260","City, midsize","Augusta-Richmond County, GA-SC","Metropolitan statistical area","Yes","4204","Not applicable","1304204","-82.086983","Augusta-Richmond County consolidated government (balance)","33.494995","Consolidated city portion","1312","13023","023","State Senate District 23","13120","120","State House District 120","State house district",""
"2019","458441","Platt College-Miller-Motte Technical-Columbus","GA","Private for-profit","At least two but less than four years","Active","Yes","Yes","Participates in Title IV federal financial aid programs","Active postsecondary institution","Title IV postsecondary institution","Degree-granting, associate's and certificates","Under 1,000","Private for-profit, two-year","Yes","No","No","Associate's degree","Associate's degree","Yes","No","Private for-profit","No","Not applicable","Differs by program","25","-84.93591","32.479996","02306818","Not applicable"," ","Georgia","1800 Box Rd","13215","03000","Georgia","2100","31907","1","70622550005002","132150021001","Columbus","South","Muscogee County","South Atlantic","13215","194","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","17980","City, midsize","Columbus, GA-AL","Metropolitan statistical area","Yes","19000","Not applicable","1319000","-84.935913","Columbus city","32.479996","Governmentally active (incorporated)","1302","13015","015","State Senate District 15","13133","133","State House District 133","State house district",""
"2019","475060","Platt College-Miller-Motte Technical-Macon","GA","Private for-profit","At least two but less than four years","Active","Yes","Yes","Participates in Title IV federal financial aid programs","Active postsecondary institution","Title IV postsecondary institution","Degree-granting, associate's and certificates","Under 1,000","Private for-profit, two-year","Yes","No","No","Associate's degree","Associate's degree","Yes","No","Private for-profit","No","Not applicable","Differs by program","29","-83.687065","32.89782","02306825","Not applicable"," ","Georgia","175 Tom Hill Sr Blvd","13021","02700","Georgia","13407","31210","2","4788034800","130210134072","Macon","South","Bibb County","South Atlantic","13021","356","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","31420","City, midsize","Macon, GA","Metropolitan statistical area","","","Not applicable","","-83.687065","","32.89782","","1308","13018","018","State Senate District 18","13137","137","State House District 137","State house district",""
"2019","138868","Point University","GA","Private not-for-profit","Four or more years","Active","Yes","Yes","Participates in Title IV federal financial aid programs","Active postsecondary institution","Title IV postsecondary institution","Degree-granting, primarily baccalaureate or above","1,000–4,999","Private not-for-profit, four-year or above","Yes","No","No","Master's degree","Master's degree","Yes","Yes","Private not-for-profit (religious affiliation)","No","Christian Churches and Churches of Christ","Semester","17","-85.18493","32.87912","00154700","Not applicable","Point U","Georgia","507 West 10th Street","13285","02900","Georgia","961000","31833","2","7063851000","132859610002","West Point","South","Troup County","South Atlantic","13285","122","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","29300","Town, distant","LaGrange, GA","Micropolitan statistical area","No","82132","Not applicable","1382132","-85.184929","West Point city","32.87912","Governmentally active (incorporated)","1303","13029","029","State Senate District 29","13129","129","State House District 129","State house district",""
"2019","139506","Pro Way Hair School","GA","Private for-profit","Less than two years (below associate's)","Active","No","Yes","Participates in Title IV federal financial aid programs","Active postsecondary institution","Title IV postsecondary institution","Nondegree-granting, sub-baccalaureate","Under 1,000","Private for-profit, less-than-two-year","Yes","No","No","Non–degree granting","At least one, but less than two academic years","Yes","No","Private for-profit","No","Not applicable","Continuous","15","-84.205185","33.801804","01205100","Not applicable"," ","Georgia","5684 Memorial Dr","13089","01206","Georgia","21908","30083-3254","1","4042995156","130890219081","Stone Mountain","South","DeKalb County","South Atlantic","13089","122","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","12060","Suburb, large","Atlanta-Sandy Springs-Marietta, GA","Metropolitan statistical area","","","Not applicable","","-84.205185","","33.801804","","1304","13041","041","State Senate District 41","13087","087","State House District 87","State house district",""
"2019","457466","Profile Institute of Barber-Styling","GA","Private for-profit","Less than two years (below associate's)","Active","No","Yes","Participates in Title IV federal financial aid programs","Active postsecondary institution","Title IV postsecondary institution","Nondegree-granting, sub-baccalaureate","Under 1,000","Private for-profit, less-than-two-year","Yes","No","No","Non–degree granting","At least one, but less than two academic years","Yes","No","Private for-profit","No","Not applicable","Continuous","15","-84.388054","33.681423","04149900","Not applicable","Profile","Georgia","26 Cleveland Ave SE","13121","01105","Georgia","7001","30315","2","4045590704","131210070012","Atlanta","South","Fulton County","South Atlantic","13121","122","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","12060","City, large","Atlanta-Sandy Springs-Marietta, GA","Metropolitan statistical area","Yes","4000","Not applicable","1304000","-84.388054","Atlanta city","33.681423","Governmentally active (incorporated)","1305","13036","036","State Senate District 36","13060","060","State House District 60","State house district",""
"2019","490230","Reformed University","GA","Private not-for-profit","Four or more years","Active","Yes","Yes","Participates in Title IV federal financial aid programs","Active postsecondary institution","Title IV postsecondary institution","Degree-granting, primarily baccalaureate or above","Under 1,000","Private not-for-profit, four-year or above","Yes","No","No","Master's degree","Master's degree","Yes","Yes","Private not-for-profit (religious affiliation)","No","Presbyterian","Semester","15","-84.07814","33.971966","04256700","Not applicable"," ","Georgia","1724 Atkinson Road","13135","01501","Georgia","50511","30043-5604","3","7702322717","131350505113","Lawrenceville","South","Gwinnett County","South Atlantic","13135","122","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","12060","Suburb, large","Atlanta-Sandy Springs-Marietta, GA","Metropolitan statistical area","","","Not applicable","","-84.07814","","33.971966","","1307","13005","005","State Senate District 5","13101","101","State House District 101","State house district",""
"2019","140872","Reinhardt University","GA","Private not-for-profit","Four or more years","Active","Yes","Yes","Participates in Title IV federal financial aid programs","Active postsecondary institution","Title IV postsecondary institution","Degree-granting, primarily baccalaureate or above","1,000–4,999","Private not-for-profit, four-year or above","Yes","No","No","Master's degree","Master's degree","Yes","Yes","Private not-for-profit (religious affiliation)","No","United Methodist","Semester","13","-84.55426","34.319756","00158900","Not applicable"," ","Georgia","7300 Reinhardt Circle","13057","01900","Georgia","90200","30183-2981","1","7707205600","130570902001","Waleska","South","Cherokee County","South Atlantic","13057","122","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","12060","Rural, fringe","Atlanta-Sandy Springs-Marietta, GA","Metropolitan statistical area","No","79948","Not applicable","1379948","-84.55426","Waleska city","34.319756","Governmentally active (incorporated)","1311","13027","027","State Senate District 27","13021","021","State House District 21","State house district","7"
"2019","419235","Rivertown School of Beauty Barber Skin Care and Nails","GA","Private for-profit","Less than two years (below associate's)","Active","No","Yes","Participates in Title IV federal financial aid programs","Active postsecondary institution","Title IV postsecondary institution","Nondegree-granting, sub-baccalaureate","Under 1,000","Private for-profit, less-than-two-year","Yes","No","No","Non–degree granting","At least one, but less than two academic years","Yes","No","Private for-profit","No","Not applicable","Continuous","16","-84.97068","32.51013","03102000","Not applicable"," ","Georgia","4747 Hamilton Road, Suite E","13215","03000","Georgia","300","31904","2","7066536561","132150003002","Columbus","South","Muscogee County","South Atlantic","13215","194","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","17980","City, midsize","Columbus, GA-AL","Metropolitan statistical area","Yes","19000","Not applicable","1319000","-84.97068","Columbus city","32.510132","Governmentally active (incorporated)","1303","13015","015","State Senate District 15","13131","131","State House District 131","State house district",""
"2019","476948","SAE Institute of Technology-Atlanta","GA","Private for-profit","At least two but less than four years","Active","Yes","Yes","Participates in Title IV federal financial aid programs","Active postsecondary institution","Title IV postsecondary institution","Degree-granting, associate's and certificates","Under 1,000","Private for-profit, two-year","Yes","No","No","Associate's degree","Associate's degree","Yes","No","Private for-profit","No","Not applicable","Continuous","15","-84.38696","33.75993","03830302","Not applicable"," ","Georgia","215 Peachtree Street","13121","01104","Georgia","1900","30303-1736","2","9544150901","131210019002","Atlanta","South","Fulton County","South Atlantic","13121","122","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","12060","City, large","Atlanta-Sandy Springs-Marietta, GA","Metropolitan statistical area","Yes","4000","Not applicable","1304000","-84.386963","Atlanta city","33.75993","Governmentally active (incorporated)","1305","13036","036","State Senate District 36","13056","056","State House District 56","State house district",""
"2019","140951","Savannah College of Art and Design","GA","Private not-for-profit","Four or more years","Active","Yes","Yes","Participates in Title IV federal financial aid programs","Active postsecondary institution","Title IV postsecondary institution","Degree-granting, primarily baccalaureate or above","10,000–19,999","Private not-for-profit, four-year or above","Yes","No","No","Master's degree","Master's degree","Yes","Yes","Private not-for-profit (no religious affiliation)","No","Not applicable","Quarter","20","-81.09385","32.072964","02141500","Not applicable","SCAD","Georgia","342 Bull St","13051","03400","Georgia","900","31402-3146","1","9125255000","130510009001","Savannah","South","Chatham County","South Atlantic","13051","496","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","42340","City, midsize","Savannah, GA","Metropolitan statistical area","Yes","69000","Not applicable","1369000","-81.093849","Savannah city","32.072964","Governmentally active (incorporated)","1301","13002","002","State Senate District 2","13160","160","State House District 160","State house district","18"
"2019","480301","Savannah Law School","GA","Private for-profit","Four or more years","Restore (active), restored to the current universe","Yes","Yes","Participates in Title IV federal financial aid programs","Active postsecondary institution","Title IV postsecondary institution","Degree-granting, graduate with no undergraduate degrees","Under 1,000","Private for-profit, four-year or above","Yes","No","No","Doctor's degree, professional practice","Doctor's degree","No","Yes","Private for-profit","No","Not applicable","Semester","","-81.11415","31.996712","03173301","Not applicable"," ","Georgia","7426 Hodgson Memorial Drive","13051","03400","Georgia","4002","31406","4","9125253900","130510040024","Savannah","South","Chatham County","South Atlantic","13051","496","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","42340","City, midsize","Savannah, GA","Metropolitan statistical area","Yes","69000","Not applicable","1369000","-81.114151","Savannah city","31.996712","Governmentally active (incorporated)","1301","13002","002","State Senate District 2","13162","162","State House District 162","State house district",""
